date,Abortion,China,Economy,Fbi Trump Raid,Jan 6,Pelosi,Russia,Shooting,Student Debt,Twitter / Musk,UK Politics,US Politics,Ukraine
2022-05-24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,12.0,54.0
2022-05-25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,12.0,54.0
2022-05-26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,12.0,54.0
2022-05-27,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,12.0,54.0
2022-05-28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,12.0,54.0
2022-05-29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,12.0,54.0
2022-05-30,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,12.0,54.0
2022-05-31,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,12.0,54.0
2022-06-01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,12.0,54.0
2022-06-02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,12.0,54.0
2022-06-03,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,12.0,54.0
2022-06-04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,12.0,54.0
2022-06-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,12.0,54.0
2022-06-06,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,12.0,54.0
2022-06-07,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,12.0,54.0
2022-06-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,12.0,54.0
2022-06-09,10.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,5.0,0.0,12.0,54.0
2022-06-10,10.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,5.0,0.0,12.0,54.0
2022-06-11,10.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,0.0,5.0,0.0,12.0,54.0
2022-06-12,10.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,5.0,0.0,12.0,54.0
2022-06-13,10.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,5.0,0.0,12.0,54.0
2022-06-14,10.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,5.0,0.0,13.0,54.0
2022-06-15,10.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,5.0,0.0,14.0,54.0
2022-06-16,10.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,5.0,0.0,14.0,54.0
2022-06-17,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,14.0,54.0
2022-06-18,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,15.0,54.0
2022-06-19,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,16.0,54.0
2022-06-20,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,17.0,54.0
2022-06-21,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,18.0,54.0
2022-06-22,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,19.0,54.0
2022-06-23,10.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-24,11.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-25,12.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-26,13.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-27,14.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
